iter	Logloss
0	0.5419117796
1	0.448031304
2	0.3901442282
3	0.354326389
4	0.3314427842
5	0.3157869417
6	0.3056258269
7	0.2982825086
8	0.293621418
9	0.2905218226
10	0.2876774786
11	0.2853986515
12	0.2836998826
13	0.2822879101
14	0.2812538769
15	0.2805182387
16	0.2797835278
17	0.2793023914
18	0.2788275647
19	0.278437886
20	0.2781312149
21	0.2776154953
22	0.2773243646
23	0.2771791086
24	0.277065016
25	0.2769070367
26	0.2767762604
27	0.2766674063
28	0.2765242886
29	0.2764428229
30	0.2763720738
31	0.2761298329
32	0.2760594351
33	0.2759887652
34	0.2759120054
35	0.275854884
36	0.2758143895
37	0.2757660936
38	0.2757226401
39	0.2756554146
40	0.275622074
41	0.2755745526
42	0.2755222282
43	0.2754940335
44	0.2754333338
45	0.2754015499
46	0.2753801323
47	0.2752443363
48	0.2752006163
49	0.2751515933
50	0.2751383652
51	0.2751139807
52	0.2750760547
53	0.2750466217
54	0.2750207874
55	0.2749870365
56	0.2749563235
57	0.274926099
58	0.2749022446
59	0.2748702078
60	0.2747550948
61	0.2747281961
62	0.274699845
63	0.2746608155
64	0.2745747545
65	0.2745335939
66	0.2745122229
67	0.2744918054
68	0.2744555786
69	0.2744421836
70	0.2744015043
71	0.2743894565
72	0.2743633413
73	0.2743507006
74	0.2743316988
75	0.2743099839
76	0.2742890591
77	0.2742643964
78	0.2742337478
79	0.2742258046
80	0.2741684832
81	0.2741474805
82	0.2741269823
83	0.274105578
84	0.2740842524
85	0.2740559608
86	0.2740372344
87	0.2740215187
88	0.2740134176
89	0.2739639451
90	0.273945509
91	0.2739320741
92	0.2739106041
93	0.2738824119
94	0.2738619628
95	0.2738423928
96	0.2737990553
97	0.273781587
98	0.2737372633
99	0.273719879
100	0.2737073095
101	0.2736978908
102	0.2736677642
103	0.2736558386
104	0.2736382965
105	0.2736220083
106	0.2736033522
107	0.2735796704
108	0.2735623956
109	0.2735414393
110	0.2735137156
111	0.2734881276
112	0.2734654542
113	0.273450986
114	0.2733948077
115	0.2733790952
116	0.2733329265
117	0.2733130728
118	0.2732943775
119	0.2732827071
120	0.2732629959
121	0.2732388628
122	0.2731889294
123	0.273164664
124	0.2731291225
125	0.273106638
126	0.2730877747
127	0.2730482769
128	0.2730234456
129	0.2730014249
130	0.2729854955
131	0.2729601741
132	0.2729500995
133	0.2729123933
134	0.2728842296
135	0.2728701298
136	0.2728510634
137	0.272844887
138	0.2728062843
139	0.2727913321
140	0.2727759522
141	0.2727514426
142	0.2727336135
143	0.2727106938
144	0.2726940183
145	0.2726712655
146	0.2726514322
147	0.272635742
148	0.2726263303
149	0.2725973584
150	0.2725747178
151	0.2725557159
152	0.2725355102
153	0.27252216
154	0.2725090601
155	0.2724846709
156	0.2724594385
157	0.2724391605
158	0.2724211775
159	0.2723974085
160	0.2723804456
161	0.2723647727
162	0.2723455079
163	0.2723240021
164	0.2723084448
165	0.2722885089
166	0.2722664442
