iter	Passed	Remaining
0	217	217168
1	285	142392
2	351	116931
3	422	105111
4	489	97416
5	557	92329
6	624	88533
7	691	85690
8	759	83644
9	804	79662
10	877	78892
11	945	77821
12	1013	76917
13	1081	76195
14	1147	75342
15	1215	74767
16	1292	74716
17	1352	73788
18	1421	73385
19	1488	72919
20	1584	73853
21	1679	74681
22	1748	74252
23	1821	74063
24	1887	73629
25	1953	73181
26	2023	72909
27	2090	72555
28	2158	72262
29	2225	71970
30	2296	71778
31	2371	71738
32	2450	71800
33	2522	71662
34	2587	71344
35	2655	71104
36	2718	70758
37	2786	70545
38	2853	70321
39	2921	70112
40	3042	71173
41	3144	71734
42	3222	71724
43	3290	71486
44	3362	71355
45	3442	71401
46	3512	71225
47	3585	71110
48	3641	70680
49	3738	71023
50	3849	71628
51	3934	71733
52	4020	71834
53	4104	71905
54	4207	72296
55	4340	73173
56	4434	73369
57	4539	73735
58	4624	73755
59	4697	73594
60	4801	73908
61	4929	74581
62	5039	74952
63	5109	74733
64	5178	74484
65	5248	74280
66	5304	73862
67	5371	73614
68	5456	73626
69	5588	74245
70	5699	74579
71	5774	74429
72	5844	74214
73	5912	73990
74	6018	74231
75	6123	74450
76	6199	74308
77	6267	74086
78	6336	73875
79	6405	73665
80	6471	73427
81	6577	73631
82	6660	73583
83	6748	73595
84	6819	73409
85	6880	73126
86	6946	72902
87	7016	72712
88	7082	72500
89	7148	72281
90	7214	72062
91	7290	71953
92	7377	71953
93	7466	71964
94	7559	72013
95	7643	71975
96	7734	72005
97	7824	72019
98	7894	71848
99	7959	71633
100	8025	71431
101	8088	71207
102	8162	71081
103	8230	70908
104	8301	70762
105	8364	70549
106	8441	70454
107	8533	70479
108	8598	70288
109	8669	70141
110	8727	69899
111	8798	69761
112	8865	69593
113	8932	69420
114	8997	69238
115	9059	69039
116	9127	68885
117	9195	68734
118	9262	68572
119	9329	68418
120	9395	68256
121	9460	68081
122	9528	67942
123	9599	67813
124	9657	67599
125	9725	67462
126	9789	67292
127	9858	67160
128	9915	66946
129	9984	66821
130	10049	66665
131	10116	66521
132	10178	66349
133	10243	66199
134	10305	66033
135	10370	65885
136	10437	65750
137	10501	65594
138	10565	65444
139	10629	65293
140	10694	65155
141	10762	65027
142	10825	64874
143	10890	64737
144	10954	64591
145	11019	64458
146	11086	64333
147	11153	64205
148	11216	64061
149	11284	63945
150	11350	63816
151	11451	63884
152	11575	64083
153	11695	64251
154	11859	64655
155	12042	65152
156	12159	65286
157	12262	65348
158	12373	65449
159	12566	65973
160	12657	65961
161	12790	66165
162	12935	66422
163	13071	66631
164	13214	66872
165	13337	67011
166	13472	67201
167	13587	67289
168	13692	67327
169	13805	67401
170	13898	67379
171	13976	67284
172	14048	67154
173	14119	67026
174	14184	66868
175	14251	66722
176	14314	66560
177	14388	66446
178	14483	66429
179	14556	66313
180	14631	66204
181	14712	66127
182	14797	66062
183	14888	66028
184	14969	65947
185	15061	65912
186	15146	65851
187	15229	65778
188	15313	65710
189	15402	65663
190	15482	65579
191	15579	65563
192	15659	65477
193	15733	65367
194	15810	65267
195	15906	65250
196	15990	65178
197	16074	65109
198	16149	65002
199	16216	64866
200	16286	64739
201	16352	64600
202	16426	64493
203	16491	64349
204	16563	64235
205	16627	64086
206	16692	63946
207	16763	63831
208	16826	63684
209	16892	63549
210	16968	63450
211	17031	63307
212	17097	63171
213	17167	63054
214	17234	62924
215	17300	62795
216	17372	62684
217	17481	62708
218	17619	62833
219	17750	62934
220	17878	63019
221	17979	63010
222	18063	62937
223	18146	62865
224	18267	62920
225	18336	62797
226	18429	62756
227	18538	62771
228	18605	62641
229	18673	62514
230	18740	62386
231	18803	62247
232	18874	62131
233	18941	62004
234	19009	61882
235	19074	61748
236	19140	61621
237	19209	61501
238	19270	61358
239	19335	61230
240	19401	61103
241	19466	60972
242	19531	60845
243	19599	60727
244	19661	60590
245	19725	60458
246	19788	60328
247	19852	60198
248	19919	60077
249	19998	59995
250	20083	59930
251	20154	59824
252	20216	59689
253	20280	59564
254	20342	59431
255	20406	59305
256	20471	59185
257	20540	59073
258	20603	58947
259	20672	58838
260	20730	58697
261	20794	58573
262	20859	58455
263	20927	58344
264	20993	58227
265	21061	58116
266	21126	57998
267	21192	57882
268	21254	57758
269	21319	57640
270	21386	57530
271	21452	57416
272	21518	57304
273	21585	57193
274	21661	57108
275	21728	56998
276	21794	56885
277	21860	56774
278	21923	56656
279	21991	56548
280	22057	56438
281	22121	56323
282	22188	56215
283	22255	56109
284	22328	56017
285	22408	55943
286	22478	55843
287	22544	55735
288	22606	55617
289	22673	55509
290	22733	55387
291	22799	55281
292	22868	55180
293	22940	55087
294	23007	54983
295	23074	54880
296	23140	54773
297	23209	54673
298	23278	54574
299	23354	54492
300	23487	54543
301	23617	54585
302	23713	54549
